frozenset({'0'})	{('0',): [342, 1]}
frozenset({'4', '2'})	{('4',): [290, 1], ('2',): [20, 2], ('4', '2'): [5, 3]}
frozenset({'19', '4'})	{('19',): [286, 1], ('4',): [290, 2], ('19', '4'): [85, 3]}
frozenset({'4', '18'})	{('4',): [290, 1], ('18',): [285, 2], ('4', '18'): [98, 3]}
frozenset({'4', '17'})	{('4',): [290, 1], ('17',): [540, 2], ('4', '17'): [167, 3]}
frozenset({'4', '16'})	{('4',): [290, 1], ('16',): [136, 2], ('4', '16'): [45, 3]}
frozenset({'4', '15'})	{('4',): [290, 1], ('15',): [173, 2], ('4', '15'): [55, 3]}
frozenset({'14', '4'})	{('14',): [538, 1], ('4',): [290, 2], ('14', '4'): [164, 3]}
frozenset({'4', '13'})	{('4',): [290, 1], ('13',): [255, 2], ('4', '13'): [77, 3]}
frozenset({'12', '4'})	{('12',): [277, 1], ('4',): [290, 2], ('12', '4'): [89, 3]}
frozenset({'4', '11'})	{('4',): [290, 1], ('11',): [581, 2], ('4', '11'): [182, 3]}
frozenset({'10', '4'})	{('10',): [319, 1], ('4',): [290, 2], ('10', '4'): [96, 3]}
frozenset({'1', '4'})	{('1',): [66, 1], ('4',): [290, 2], ('1', '4'): [17, 3]}
frozenset({'0', '4'})	{('0',): [342, 1], ('4',): [290, 2], ('0', '4'): [113, 3]}
frozenset({'2', '3'})	{('2',): [20, 1], ('3',): [583, 2], ('2', '3'): [13, 3]}
frozenset({'19', '3'})	{('19',): [286, 1], ('3',): [583, 2], ('19', '3'): [187, 3]}
frozenset({'18', '3'})	{('18',): [285, 1], ('3',): [583, 2], ('18', '3'): [184, 3]}
frozenset({'17', '3'})	{('17',): [540, 1], ('3',): [583, 2], ('17', '3'): [334, 3]}
frozenset({'16', '3'})	{('16',): [136, 1], ('3',): [583, 2], ('16', '3'): [81, 3]}
frozenset({'15', '3'})	{('15',): [173, 1], ('3',): [583, 2], ('15', '3'): [112, 3]}
frozenset({'14', '3'})	{('14',): [538, 1], ('3',): [583, 2], ('14', '3'): [332, 3]}
frozenset({'13', '3'})	{('13',): [255, 1], ('3',): [583, 2], ('13', '3'): [155, 3]}
frozenset({'12', '3'})	{('12',): [277, 1], ('3',): [583, 2], ('12', '3'): [179, 3]}
frozenset({'11', '3'})	{('11',): [581, 1], ('3',): [583, 2], ('11', '3'): [366, 3]}
frozenset({'10', '3'})	{('10',): [319, 1], ('3',): [583, 2], ('10', '3'): [198, 3]}
frozenset({'1', '3'})	{('1',): [66, 1], ('3',): [583, 2], ('1', '3'): [41, 3]}
frozenset({'0', '3'})	{('0',): [342, 1], ('3',): [583, 2], ('0', '3'): [218, 3]}
frozenset({'19', '2'})	{('19',): [286, 1], ('2',): [20, 2], ('19', '2'): [11, 3]}
